"","window","news","blogs"
"1","2015-07-02..2015-07-07",1,0.999808273715534
"2","2015-07-03..2015-07-08",1,0.999474014093122
"3","2015-07-04..2015-07-09",1,0.99930142526724
"4","2015-07-05..2015-07-10",1,0.999500386485903
"5","2015-07-06..2015-07-11",1,0.999444735301291
"6","2015-07-07..2015-07-12",1,0.999410154425984
"7","2015-07-08..2015-07-13",1,0.999578441876444
"8","2015-07-09..2015-07-14",1,0.999610908163347
"9","2015-07-10..2015-07-15",1,0.997220967286389
"10","2015-07-11..2015-07-16",1,0.986370326357712
"11","2015-07-12..2015-07-17",0.988429331474912,0.987714416445933
"12","2015-07-13..2015-07-18",0.980959194502709,0.987950516831229
"13","2015-07-14..2015-07-19",0.980959194502709,0.992579426536628
"14","2015-07-15..2015-07-20",0.980959194502709,0.994771677659993
"15","2015-07-16..2015-07-21",0.988503314542578,0.997346419423589
"16","2015-07-17..2015-07-22",0.990446525047722,0.998702922981211
"17","2015-07-18..2015-07-23",1,0.997897702323237
"18","2015-07-19..2015-07-24",0.998553011322796,0.997951576841943
"19","2015-07-20..2015-07-25",0.998171768655735,0.998101867019083
"20","2015-07-21..2015-07-26",0.997916813339041,0.999445757257096
"21","2015-07-22..2015-07-27",0.999163462306394,0.999445757257096
"22","2015-07-23..2015-07-28",0.999163462306394,0.999445757257096
"23","2015-07-24..2015-07-29",0.999639236185042,0.99937814983856
"24","2015-07-25..2015-07-30",0.998587471898249,0.999964530175276
"25","2015-07-26..2015-07-31",0.998587471898249,0.999936418816245
"26","2015-07-27..2015-08-01",0.998898949226393,0.999772053219868
"27","2015-07-28..2015-08-02",0.998898949226393,0.997415674498788
"28","2015-07-29..2015-08-03",0.999757868353208,0.997004521641036
"29","2015-07-30..2015-08-04",1,0.993569061283335
"30","2015-07-31..2015-08-05",0.998246015410503,0.987905719699032
"31","2015-08-01..2015-08-06",0.998730483244684,0.984709820236483
"32","2015-08-02..2015-08-07",0.996621838954503,0.9646996024812
"33","2015-08-03..2015-08-08",0.996712575531863,0.976100988652105
"34","2015-08-04..2015-08-09",0.996712575531863,0.994412032059887
"35","2015-08-05..2015-08-10",0.997281099662537,0.990704444212557
"36","2015-08-06..2015-08-11",0.999128626454392,0.993090792633855
"37","2015-08-07..2015-08-12",0.998775874029675,0.991015944274339
"38","2015-08-08..2015-08-13",0.999024177422148,0.998065387726834
"39","2015-08-09..2015-08-14",0.988775518433282,0.99703386716728
"40","2015-08-10..2015-08-15",0.988217274063301,0.994221395885924
"41","2015-08-11..2015-08-16",0.988217274063301,0.996931042684865
"42","2015-08-12..2015-08-17",0.976161483145279,0.995125425178825
"43","2015-08-13..2015-08-18",0.987490411163919,0.997455247112302
"44","2015-08-14..2015-08-19",0.983130624399487,0.993773910544509
"45","2015-08-15..2015-08-20",0.993410009955068,0.994960588752202
"46","2015-08-16..2015-08-21",0.994987250339717,0.992099669704841
"47","2015-08-17..2015-08-22",0.994987250339717,0.989663002814775
"48","2015-08-18..2015-08-23",0.995999400608052,0.993684812941403
"49","2015-08-19..2015-08-24",0.99338476915744,0.995015957553448
"50","2015-08-20..2015-08-25",0.994201869487096,0.996921661381441
"51","2015-08-21..2015-08-26",0.990787055085888,0.996830955399239
"52","2015-08-22..2015-08-27",0.990781124513656,0.99660852672314
"53","2015-08-23..2015-08-28",0.993737584157532,0.997692854056026
"54","2015-08-24..2015-08-29",0.994066830499162,0.99821178499233
"55","2015-08-25..2015-08-30",0.995862169323882,0.995590291266934
"56","2015-08-26..2015-08-31",0.995040486416625,0.996026758063674
"57","2015-08-27..2015-09-01",0.997030784474196,0.986328757755728
"58","2015-08-28..2015-09-02",0.9897778983612,0.976302135789959
"59","2015-08-29..2015-09-03",0.958428572028113,0.911859107094711
"60","2015-08-30..2015-09-04",0.830356979946018,0.869508726927654
"61","2015-08-31..2015-09-05",0.799857040098129,0.779128556477737
"62","2015-09-01..2015-09-06",0.732276498786865,0.713855171568714
"63","2015-09-02..2015-09-07",0.74805432579774,0.734382177539803
"64","2015-09-03..2015-09-08",0.755073524291232,0.747895170069943
"65","2015-09-04..2015-09-09",0.756317890694688,0.779136719085394
"66","2015-09-05..2015-09-10",0.76098846979202,0.774992998842551
"67","2015-09-06..2015-09-11",0.723816691343348,0.770020291478395
"68","2015-09-07..2015-09-12",0.750863942698825,0.782330911280388
"69","2015-09-08..2015-09-13",0.782204587151769,0.741166114025148
"70","2015-09-09..2015-09-14",0.75159835932042,0.684294152097661
"71","2015-09-10..2015-09-15",0.743325003167652,0.701622628565627
"72","2015-09-11..2015-09-16",0.754725985168455,0.706615367768744
"73","2015-09-12..2015-09-17",0.74616878382493,0.68326559932324
"74","2015-09-13..2015-09-18",0.685476606064265,0.648080564793663
