"num","window","news","blogs"
"1","2015-07-02..2015-07-07",5,26
"2","2015-07-03..2015-07-08",5,45
"3","2015-07-04..2015-07-09",7,70
"4","2015-07-05..2015-07-10",8,86
"5","2015-07-06..2015-07-11",8,86
"6","2015-07-07..2015-07-12",7,99
"7","2015-07-08..2015-07-13",7,102
"8","2015-07-09..2015-07-14",9,120
"9","2015-07-10..2015-07-15",8,131
"10","2015-07-11..2015-07-16",7,162
"11","2015-07-12..2015-07-17",18,188
"12","2015-07-13..2015-07-18",22,180
"13","2015-07-14..2015-07-19",21,187
"14","2015-07-15..2015-07-20",21,190
"15","2015-07-16..2015-07-21",29,203
"16","2015-07-17..2015-07-22",36,190
"17","2015-07-18..2015-07-23",36,239
"18","2015-07-19..2015-07-24",42,290
"19","2015-07-20..2015-07-25",45,284
"20","2015-07-21..2015-07-26",47,279
"21","2015-07-22..2015-07-27",41,295
"22","2015-07-23..2015-07-28",43,347
"23","2015-07-24..2015-07-29",41,361
"24","2015-07-25..2015-07-30",42,382
"25","2015-07-26..2015-07-31",47,441
"26","2015-07-27..2015-08-01",51,479
"27","2015-07-28..2015-08-02",52,473
"28","2015-07-29..2015-08-03",59,528
"29","2015-07-30..2015-08-04",63,557
"30","2015-07-31..2015-08-05",57,643
"31","2015-08-01..2015-08-06",71,726
"32","2015-08-02..2015-08-07",75,828
"33","2015-08-03..2015-08-08",80,827
"34","2015-08-04..2015-08-09",71,802
"35","2015-08-05..2015-08-10",72,901
"36","2015-08-06..2015-08-11",88,962
"37","2015-08-07..2015-08-12",94,1091
"38","2015-08-08..2015-08-13",101,1169
"39","2015-08-09..2015-08-14",110,1494
"40","2015-08-10..2015-08-15",106,1541
"41","2015-08-11..2015-08-16",98,1483
"42","2015-08-12..2015-08-17",99,1843
"43","2015-08-13..2015-08-18",84,2203
"44","2015-08-14..2015-08-19",98,2348
"45","2015-08-15..2015-08-20",107,2323
"46","2015-08-16..2015-08-21",129,2438
"47","2015-08-17..2015-08-22",130,2397
"48","2015-08-18..2015-08-23",127,1935
"49","2015-08-19..2015-08-24",145,1737
"50","2015-08-20..2015-08-25",151,1798
"51","2015-08-21..2015-08-26",177,1847
"52","2015-08-22..2015-08-27",219,1967
"53","2015-08-23..2015-08-28",309,2290
"54","2015-08-24..2015-08-29",336,2553
"55","2015-08-25..2015-08-30",386,2512
"56","2015-08-26..2015-08-31",1425,3512
"57","2015-08-27..2015-09-01",33881,13622
"58","2015-08-28..2015-09-02",64164,23542
"59","2015-08-29..2015-09-03",94999,33245
"60","2015-08-30..2015-09-04",120548,42000
"61","2015-08-31..2015-09-05",133426,47479
"62","2015-09-01..2015-09-06",143936,51482
"63","2015-09-02..2015-09-07",130617,48640
"64","2015-09-03..2015-09-08",130772,48200
"65","2015-09-04..2015-09-09",131917,48116
"66","2015-09-05..2015-09-10",135172,48228
"67","2015-09-06..2015-09-11",136803,48169
"68","2015-09-07..2015-09-12",137725,48580
"69","2015-09-08..2015-09-13",130403,46781
"70","2015-09-09..2015-09-14",129117,46738
"71","2015-09-10..2015-09-15",128962,46839
"72","2015-09-11..2015-09-16",132237,48031
"73","2015-09-12..2015-09-17",147895,52071
"74","2015-09-13..2015-09-18",162175,55817
"75","2015-09-14..2015-09-19",163565,55692
"76","2015-09-15..2015-09-20",147084,51555
"77","2015-09-16..2015-09-21",143905,51310
"78","2015-09-17..2015-09-22",143796,50850
"79","2015-09-18..2015-09-23",143287,50751
"80","2015-09-19..2015-09-24",145979,50565
"81","2015-09-20..2015-09-25",158790,53974
"82","2015-09-21..2015-09-26",158410,53837
"83","2015-09-22..2015-09-27",141681,49380
"84","2015-09-23..2015-09-28",138681,48859
"85","2015-09-24..2015-09-29",140536,48642
"86","2015-09-25..2015-09-30",142689,48300
"87","2015-09-26..2015-10-01",116620,39139
"88","2015-09-27..2015-10-02",104261,33576
"89","2015-09-28..2015-10-03",92247,28111
"90","2015-09-29..2015-10-04",63231,18641
"91","2015-09-30..2015-10-05",31636,9091
